"","n","time_order_statistic_min","time_order_statistic_med","time_order_statistic_max"
"1",10000,0.00400000000008731,0.00400000000008731,0
"2",20000,0,0,0
"3",30000,0,0.00199999999967986,0
"4",40000,0.00199999999967986,0.00400000000008731,0
"5",50000,0.00400000000008731,0,0.00400000000008731
"6",60000,0,0,0
"7",70000,0,0,0
"8",80000,0,0,0.00400000000008731
"9",90000,0.00400000000008731,0,0.00199999999967986
"10",1e+05,0.00199999999967986,0.00400000000008731,0
"11",110000,0.00400000000008731,0.00400000000008731,0.00199999999967986
"12",120000,0.00400000000008731,0.00200000000040745,0
"13",130000,0,0.00199999999967986,0
"14",140000,0.00400000000008731,0,0
"15",150000,0.00400000000008731,0.00199999999967986,0.00199999999967986
"16",160000,0,0.00199999999967986,0.00199999999967986
"17",170000,0.00199999999967986,0.00399999999935972,0
"18",180000,0.00400000000008731,0.00400000000008731,0.00199999999967986
"19",190000,0.00199999999967986,0.00400000000008731,0.00399999999935972
"20",2e+05,0.00400000000008731,0.00599999999976717,0.00400000000008731
"21",210000,0.00200000000040745,0.00200000000040745,0
"22",220000,0.00200000000040745,0.00199999999967986,0.00199999999967986
"23",230000,0.00599999999976717,0.00400000000008731,0.00200000000040745
"24",240000,0.00200000000040745,0.00400000000008731,0.00199999999967986
"25",250000,0.00400000000008731,0.00199999999967986,0.00800000000017462
"26",260000,0.00199999999967986,0.00599999999976717,0.00199999999967986
"27",270000,0.00400000000008731,0.00599999999976717,0.00400000000008731
"28",280000,0.00800000000017462,0.00599999999976717,0.00200000000040745
"29",290000,0.00400000000008731,0.00599999999976717,0.00399999999935972
"30",3e+05,0.00800000000017462,0.00999999999985448,0.00399999999935972
"31",310000,0.00800000000017462,0.00599999999976717,0.00599999999976717
"32",320000,0.00599999999976717,0.00199999999967986,0.00599999999976717
"33",330000,0.00199999999967986,0.00800000000017462,0.00599999999976717
"34",340000,0.00600000000049476,0.00800000000017462,0.00399999999935972
"35",350000,0.00599999999976717,0.00599999999976717,0.00200000000040745
"36",360000,0.00599999999976717,0.00599999999976717,0.00200000000040745
"37",370000,0.00599999999976717,0.00999999999985448,0.00400000000008731
"38",380000,0.00400000000008731,0.00800000000017462,0.00199999999967986
"39",390000,0.00599999999976717,0.00800000000017462,0.00800000000017462
"40",4e+05,0.00200000000040745,0.0100000000005821,0.00199999999967986
"41",410000,0.00400000000008731,0.00999999999985448,0.00200000000040745
"42",420000,0.00199999999967986,0.00600000000049476,0.00199999999967986
"43",430000,0.00800000000017462,0.00800000000017462,0.00400000000008731
"44",440000,0.00599999999976717,0.0120000000002619,0.00600000000049476
"45",450000,0.00600000000049476,0.00999999999985448,0.00600000000049476
"46",460000,0.00599999999976717,0.00999999999985448,0.00800000000017462
"47",470000,0.00600000000049476,0.00999999999985448,0.00600000000049476
"48",480000,0.00599999999976717,0.00999999999985448,0.00800000000017462
"49",490000,0.00599999999976717,0.0120000000002619,0.00200000000040745
"50",5e+05,0.00400000000008731,0.0120000000002619,0.00599999999976717
"51",510000,0.00599999999976717,0.00999999999985448,0.00400000000008731
"52",520000,0.00999999999985448,0.00999999999985448,0.00800000000017462
"53",530000,0.00599999999976717,0.0120000000002619,0.00599999999976717
"54",540000,0.00999999999985448,0.0120000000002619,0.00999999999985448
"55",550000,0.00800000000017462,0.0120000000002619,0.00600000000049476
"56",560000,0.00999999999985448,0.00999999999985448,0.00599999999976717
"57",570000,0.00599999999976717,0.0120000000002619,0.00999999999985448
"58",580000,0.00599999999976717,0.0119999999995343,0.00800000000017462
"59",590000,0.00599999999976717,0.0120000000002619,0.00999999999985448
"60",6e+05,0.00999999999985448,0.0119999999995343,0.00999999999985448
"61",610000,0.00999999999985448,0.0120000000002619,0.00800000000017462
"62",620000,0.00800000000017462,0.0120000000002619,0.00600000000049476
"63",630000,0.00599999999976717,0.0160000000003492,0.00600000000049476
"64",640000,0.0119999999995343,0.0160000000003492,0.00599999999976717
"65",650000,0.00999999999985448,0.0139999999999418,0.00800000000017462
"66",660000,0.00800000000017462,0.0120000000002619,0.00999999999985448
"67",670000,0.00999999999985448,0.0120000000002619,0.00599999999976717
"68",680000,0.00599999999976717,0.0159999999996217,0.00599999999976717
"69",690000,0.00999999999985448,0.0160000000003492,0.00600000000049476
"70",7e+05,0.00800000000017462,0.0119999999995343,0.00999999999985448
"71",710000,0.00999999999985448,0.0120000000002619,0.00800000000017462
"72",720000,0.0120000000002619,0.0160000000003492,0.00999999999985448
"73",730000,0.00999999999985448,0.0159999999996217,0.00599999999976717
"74",740000,0.00800000000017462,0.0160000000003492,0.00400000000008731
"75",750000,0.0119999999995343,0.0160000000003492,0.00800000000017462
"76",760000,0.00999999999985448,0.0200000000004366,0.0120000000002619
"77",770000,0.0160000000003492,0.0139999999999418,0.0120000000002619
"78",780000,0.0119999999995343,0.0159999999996217,0.00800000000017462
"79",790000,0.0120000000002619,0.0180000000000291,0.0139999999999418
"80",8e+05,0.0160000000003492,0.0159999999996217,0.00800000000017462
"81",810000,0.00800000000017462,0.0160000000003492,0.00999999999985448
"82",820000,0.0119999999995343,0.0160000000003492,0.0139999999999418
"83",830000,0.0120000000002619,0.0159999999996217,0.0100000000005821
"84",840000,0.0120000000002619,0.0180000000000291,0.0139999999999418
"85",850000,0.0159999999996217,0.0180000000000291,0.0139999999999418
"86",860000,0.0139999999999418,0.0180000000000291,0.00999999999985448
"87",870000,0.0100000000005821,0.019999999999709,0.00800000000017462
"88",880000,0.0139999999999418,0.0180000000000291,0.0139999999999418
"89",890000,0.0159999999996217,0.0180000000000291,0.00800000000017462
"90",9e+05,0.0139999999999418,0.0180000000000291,0.0120000000002619
"91",910000,0.0119999999995343,0.0180000000000291,0.00999999999985448
"92",920000,0.00999999999985448,0.0180000000000291,0.00999999999985448
"93",930000,0.00999999999985448,0.0220000000001164,0.0159999999996217
"94",940000,0.0119999999995343,0.0180000000000291,0.0159999999996217
"95",950000,0.0139999999999418,0.019999999999709,0.0139999999999418
"96",960000,0.0120000000002619,0.0180000000000291,0.00999999999985448
"97",970000,0.0160000000003492,0.0220000000001164,0.0120000000002619
"98",980000,0.0160000000003492,0.0220000000001164,0.00999999999985448
"99",990000,0.0120000000002619,0.0220000000001164,0.00999999999985448
"100",1e+06,0.0160000000003492,0.0220000000001164,0.0120000000002619
"101",1010000,0.019999999999709,0.0239999999997963,0.0120000000002619
"102",1020000,0.0139999999999418,0.0180000000000291,0.00999999999985448
"103",1030000,0.0139999999999418,0.0220000000001164,0.00999999999985448
