"","m","var_time_order_statistic_med"
"1",1e+05,4.55555555541084e-05
"2",150000,4.00000000017462e-05
"3",2e+05,8.99999999986742e-05
"4",250000,4.88888888865768e-05
"5",3e+05,7.1111111107748e-05
"6",350000,7.1111111111386e-05
"7",4e+05,0.000111111111109898
"8",450000,5.44444444419706e-05
"9",5e+05,3.99999999981083e-05
"10",550000,7.66666666667798e-05
"11",6e+05,8.44444444485352e-05
"12",650000,0.000128888888889261
"13",7e+05,8.88888888907483e-05
"14",750000,5.44444444472255e-05
"15",8e+05,6.22222222253428e-05
"16",850000,3.99999999997251e-05
"17",9e+05,5.4444444446417e-05
"18",950000,0.000115555555553324
"19",1e+06,5.44444444456086e-05
"20",1050000,0.000121111111111952
"21",1100000,4.00000000017462e-05
"22",1150000,4.88888888881936e-05
"23",1200000,8.44444444469183e-05
"24",1250000,5.44444444462149e-05
"25",1300000,4.88888888894063e-05
"26",1350000,9.44444444445253e-05
"27",1400000,0.000182222222222093
"28",1450000,0.0001955555555552
"29",1500000,0.000155555555556283
"30",1550000,6.77777777817472e-05
"31",1600000,7.22222222203224e-05
"32",1650000,0.000165555555552475
"33",1700000,0.000143333333332315
"34",1750000,7.22222222193118e-05
"35",1800000,0.000134444444445665
"36",1850000,0.000156666666668655
"37",1900000,0.000116666666662665
"38",1950000,0.000151111111112453
"39",2e+06,0.000239999999995117
"40",2050000,0.000121111111108516
"41",2100000,0.000294444444445172
"42",2150000,0.0001733333333409
"43",2200000,0.000106666666666473
"44",2250000,0.000183333333335274
"45",2300000,0.000316666666663312
"46",2350000,0.000222222222219797
"47",2400000,9.88888888873448e-05
"48",2450000,0.00029000000000114
"49",2500000,0.000106666666669706
"50",2550000,0.000209999999997243
"51",2600000,0.000173333333331603
"52",2650000,0.000173333333326348
"53",2700000,0.000106666666667281
"54",2750000,0.000182222222222497
"55",2800000,0.000195555555556008
"56",2850000,0.000177777777781497
"57",2900000,0.000240000000002797
"58",2950000,0.00027111111111365
"59",3e+06,0.000245555555556372
"60",3050000,0.000182222222220072
"61",3100000,0.000232222222223467
"62",3150000,0.000262222222226798
"63",3200000,7.66666666681946e-05
"64",3250000,8.88888888927694e-05
"65",3300000,9.88888888881532e-05
"66",3350000,7.11111111117902e-05
"67",3400000,8.88888888887272e-05
"68",3450000,0.000121111111106697
"69",3500000,0.000248888888891266
"70",3550000,0.000187777777778902
"71",3600000,0.000306666666668332
"72",3650000,0.000448888888887062
"73",3700000,0.000488888888879915
"74",3750000,0.000232222222225488
"75",3800000,0.000128888888889261
"76",3850000,0.000128888888886027
"77",3900000,0.000328888888888695
"78",3950000,0.000432222222222497
"79",4e+06,0.000227777777778627
"80",4050000,0.000209999999999669
"81",4100000,0.000445555555553987
"82",4150000,0.000271111111119713
"83",4200000,0.000204444444446498
"84",4250000,0.000298888888889608
"85",4300000,0.000395555555555038
"86",4350000,0.000204444444446498
"87",4400000,0.000284444444441502
"88",4450000,0.000217777777773946
"89",4500000,0.000151111111106794
"90",4550000,0.000155555555556283
"91",4600000,0.000116666666669739
"92",4650000,0.000128888888888857
"93",4700000,0.000173333333323923
"94",4750000,0.000165555555551465
"95",4800000,0.000151111111114474
"96",4850000,7.11111111105775e-05
"97",4900000,0.000528888888887725
"98",4950000,0.000401111111111847
"99",5e+06,0.00048444444444417
"100",5050000,0.000467777777770106
"101",5100000,0.000183333333336284
"102",5150000,0.000321111111110578
"103",5200000,0.000244444444449053
"104",5250000,0.000645555555552613
"105",5300000,0.000432222222228965
"106",5350000,0.000761111111119074
"107",5400000,0.000506666666673021
"108",5450000,0.000226666666657968
"109",5500000,0.000738888888886787
"110",5550000,0.000262222222218309
"111",5600000,0.000676666666667912
"112",5650000,0.000543333333336438
"113",5700000,0.000623333333340941
"114",5750000,0.000328888888895567
"115",5800000,0.000178888888887199
"116",5850000,0.000426666666659827
"117",5900000,0.000240000000005223
"118",5950000,0.000204444444445689
"119",6e+06,0.000143333333332315
"120",6050000,0.000210000000001488
"121",6100000,0.000401111111108613
"122",6150000,0.000743333333338297
"123",6200000,0.000387777777778942
"124",6250000,0.000734444444441138
"125",6300000,0.000232222222221244
"126",6350000,0.000271111111113245
"127",6400000,0.000528888888891767
"128",6450000,0.000245555555558393
"129",6500000,0.000284444444439076
"130",6550000,0.000204444444439626
"131",6600000,0.000338888888883472
"132",6650000,0.000617777777758262
"133",6700000,0.000773333333328289
"134",6750000,0.000405555555545976
"135",6800000,0.000201111111112008
"136",6850000,0.000271111111109607
"137",6900000,0.000488888888894063
"138",6950000,0.000378888888887644
"139",7e+06,0.000426666666663465
"140",7050000,0.000355555555552888
"141",7100000,0.000239999999998351
"142",7150000,0.000467777777783647
"143",7200000,0.000427777777777252
"144",7250000,0.00028444444444231
"145",7300000,0.000201111111109381
"146",7350000,0.000373333333336292
"147",7400000,0.00133444444443277
"148",7450000,0.000632222222229005
"149",7500000,0.000423333333331603
"150",7550000,0.000240000000001989
"151",7600000,0.000617777777790195
"152",7650000,0.000654444444442496
"153",7700000,0.000244444444453095
"154",7750000,0.000645555555551602
"155",7800000,0.000982222222225084
"156",7850000,0.000195555555550753
"157",7900000,0.000312222222224736
"158",7950000,0.000650000000001091
"159",8e+06,0.000862222222208123
"160",8050000,0.00040111111111124
"161",8100000,0.00116000000001628
"162",8150000,0.000377777777774059
"163",8200000,0.000561111111106301
"164",8250000,0.000538888888887151
"165",8300000,0.000343333333333972
"166",8350000,0.000106666666666473
"167",8400000,0.000245555555563446
"168",8450000,0.000440000000007082
"169",8500000,0.000578888888886472
